TEMPERATURA,TEMP_PAINEL,IRRADIANCIA,UMIDADE,PRESSAO,VELOCIDADE
23.89,22.0,3.23595,88.49,1005.65,0.0
23.88,22.0,3.69822,88.43,1005.64,0.0
23.89,22.0,3.23595,88.48,1005.64,0.0
23.88,22.0,3.69822,88.51,1005.63,0.0
23.89,22.0,2.3113900000000003,88.52,1005.67,0.0
23.89,22.0,2.3113900000000003,88.41,1005.66,0.0
23.89,22.0,1.84911,88.49,1005.68,0.0
23.89,22.0,2.3113900000000003,88.42,1005.64,0.0
23.89,22.0,1.84911,88.4,1005.63,0.0
23.89,22.0,2.3113900000000003,88.52,1005.66,0.0
23.89,22.0,2.3113900000000003,88.44,1005.65,0.0
23.89,22.0,1.84911,88.5,1005.62,0.0
23.88,22.0,2.3113900000000003,88.61,1005.66,0.0
23.89,22.0,2.3113900000000003,88.46,1005.65,0.0
23.89,22.0,1.84911,88.49,1005.66,0.0
23.89,22.0,2.3113900000000003,88.49,1005.65,0.0
23.89,22.0,2.3113900000000003,88.49,1005.66,0.0
23.89,22.0,2.3113900000000003,88.41,1005.67,0.0
23.89,22.0,2.77367,88.45,1005.65,0.0
23.89,22.0,2.3113900000000003,88.5,1005.67,0.0
23.9,22.0,3.23595,88.49,1005.63,0.0
23.89,22.0,3.23595,88.51,1005.64,0.0
23.89,22.0,3.23595,88.47,1005.67,0.0
23.89,22.0,3.69822,88.52,1005.66,0.0
23.9,22.0,3.69822,88.57,1005.67,0.0
23.9,22.0,3.23595,88.61,1005.65,0.0
23.89,22.0,3.23595,88.48,1005.65,0.0
23.9,22.0,3.23595,88.44,1005.65,0.0
23.9,22.0,3.69822,88.53,1005.69,0.0
23.9,22.0,3.69822,88.49,1005.66,0.0
23.9,22.0,3.69822,88.41,1005.63,0.0
23.89,22.0,3.69822,88.46,1005.62,0.0
23.89,22.0,3.23595,88.53,1005.64,0.0
23.9,22.0,3.23595,88.46,1005.65,0.0
23.9,22.0,2.77367,88.43,1005.65,0.0
23.9,22.0,1.84911,88.44,1005.63,0.0
23.9,22.0,2.3113900000000003,88.48,1005.65,0.0
23.9,22.0,1.84911,88.46,1005.66,0.0
23.9,22.0,1.84911,88.47,1005.68,0.0
23.9,22.0,2.3113900000000003,88.46,1005.68,0.0
23.9,22.0,1.84911,88.49,1005.67,0.0
23.9,22.0,2.3113900000000003,88.48,1005.68,0.0
23.9,22.0,1.84911,88.5,1005.65,0.0
23.9,22.0,2.3113900000000003,88.51,1005.65,0.0
23.9,22.0,3.69822,88.5,1005.64,0.0
23.89,22.0,3.23595,88.53,1005.65,0.0
23.9,22.0,3.23595,88.52,1005.65,0.0
23.9,22.0,3.69822,88.49,1005.65,0.0
23.9,22.0,3.69822,88.45,1005.66,0.0
23.9,22.0,3.69822,88.43,1005.67,0.0
23.9,22.0,3.69822,88.44,1005.66,0.0
23.9,22.0,4.1605,88.5,1005.65,0.0
23.9,22.0,3.69822,88.44,1005.67,0.0
23.9,22.0,3.69822,88.49,1005.64,0.0
23.9,22.0,2.77367,88.52,1005.65,0.0
23.9,22.0,2.77367,88.41,1005.67,0.0
23.9,22.0,2.3113900000000003,88.42,1005.67,0.0
23.91,22.0,2.3113900000000003,88.37,1005.67,0.0
23.91,22.0,1.38683,88.49,1005.65,0.0
23.9,22.0,1.84911,88.44,1005.61,0.0
23.9,22.0,2.3113900000000003,88.5,1005.64,0.0
23.9,22.0,1.84911,88.53,1005.64,0.0
23.9,22.0,1.84911,88.46,1005.66,0.0
23.9,22.0,2.3113900000000003,88.5,1005.63,0.0
23.9,22.0,1.84911,88.52,1005.65,0.0
23.9,22.0,2.3113900000000003,88.39,1005.67,0.0
23.91,22.0,1.84911,88.39,1005.64,0.0
23.9,22.0,2.3113900000000003,88.36,1005.65,0.0
23.9,22.0,2.3113900000000003,88.52,1005.65,0.0
23.9,22.0,2.77367,88.46,1005.64,0.0
23.9,22.0,2.77367,88.4,1005.66,0.0
23.91,22.0,3.23595,88.44,1005.67,0.0
23.9,22.0,3.23595,88.43,1005.64,0.0
23.9,22.0,3.23595,88.49,1005.64,0.0
23.91,22.0,3.23595,88.4,1005.68,0.0
23.9,22.0,3.23595,88.39,1005.68,0.0
23.91,22.0,3.23595,88.41,1005.65,0.0
23.91,22.0,3.23595,88.39,1005.67,0.0
23.9,22.0,3.23595,88.43,1005.66,0.0
23.9,22.0,3.23595,88.45,1005.64,0.0
23.91,22.0,3.23595,88.45,1005.66,0.0
23.91,22.0,3.69822,88.48,1005.67,0.0
23.9,22.0,3.23595,88.45,1005.63,0.0
23.9,22.0,3.69822,88.38,1005.66,0.0
23.91,22.0,3.69822,88.53,1005.66,0.0
23.91,22.0,3.23595,88.47,1005.65,0.0
23.9,22.0,4.1605,88.42,1005.63,0.0
23.9,22.0,3.69822,88.35,1005.67,0.0
23.9,22.0,3.69822,88.41,1005.63,0.0
23.9,22.0,3.23595,88.41,1005.63,0.0
23.9,22.0,3.69822,88.41,1005.62,0.0
23.91,22.0,2.3113900000000003,88.37,1005.62,0.0
23.9,22.0,2.3113900000000003,88.38,1005.66,0.0
23.9,22.0,1.84911,88.47,1005.64,0.0
23.91,22.0,1.84911,88.39,1005.63,0.0
23.91,22.0,2.3113900000000003,88.53,1005.64,0.0
23.91,22.0,1.84911,88.37,1005.65,0.0
23.91,22.0,1.84911,88.39,1005.65,0.0
23.9,22.0,2.3113900000000003,88.44,1005.64,0.0
23.91,22.0,1.84911,88.42,1005.65,0.0
23.91,22.0,2.3113900000000003,88.41,1005.64,0.0
23.9,22.0,1.84911,88.38,1005.64,0.0
23.9,22.0,2.3113900000000003,88.39,1005.66,0.0
23.9,22.0,2.77367,88.33,1005.64,0.0
23.9,22.0,2.77367,88.35,1005.67,0.0
23.91,22.0,3.23595,88.38,1005.67,0.0
23.91,22.0,3.23595,88.43,1005.65,0.0
23.91,22.0,3.23595,88.39,1005.63,0.0
23.91,22.0,3.69822,88.33,1005.68,0.0
23.91,22.0,3.69822,88.33,1005.64,0.0
23.91,22.0,3.69822,88.41,1005.65,0.0
23.91,22.0,3.69822,88.35,1005.68,0.0
23.91,22.0,3.69822,88.37,1005.66,0.0
23.91,22.0,3.69822,88.28,1005.66,0.0
23.91,22.0,3.69822,88.34,1005.66,0.0
23.91,22.0,3.69822,88.35,1005.66,0.0
23.91,22.0,3.69822,88.33,1005.67,0.0
23.91,22.0,3.69822,88.38,1005.67,0.0
23.92,22.0,3.69822,88.37,1005.69,0.0
23.91,22.0,3.69822,88.39,1005.63,0.0
23.91,22.0,3.23595,88.3,1005.66,0.0
23.91,22.0,3.23595,88.32,1005.64,0.0
23.92,22.0,3.23595,88.36,1005.65,0.0
23.91,22.0,2.77367,88.38,1005.65,0.0
23.92,22.0,1.84911,88.33,1005.66,0.0
23.92,22.0,2.3113900000000003,88.25,1005.65,0.0
23.92,22.0,1.84911,88.35,1005.64,0.0
23.91,22.0,1.84911,88.28,1005.65,0.0
23.91,22.0,1.84911,88.29,1005.63,0.0
23.92,22.0,2.3113900000000003,88.3,1005.67,0.0
23.92,22.0,2.3113900000000003,88.28,1005.68,0.0
23.91,22.0,2.3113900000000003,88.4,1005.66,0.0
23.91,22.0,2.3113900000000003,88.31,1005.66,0.0
23.92,22.0,2.3113900000000003,88.33,1005.66,0.0
23.92,22.0,2.3113900000000003,88.31,1005.67,0.0
23.91,22.0,2.3113900000000003,88.31,1005.66,0.0
23.91,22.0,2.77367,88.27,1005.67,0.0
23.92,22.0,3.23595,88.28,1005.67,0.0
23.92,22.0,3.23595,88.3,1005.69,0.0
23.92,22.0,3.69822,88.33,1005.68,0.0
23.92,22.0,3.23595,88.36,1005.7,0.0
23.92,22.0,3.69822,88.24,1005.67,0.0
23.92,22.0,3.69822,88.27,1005.67,0.0
23.91,22.0,3.69822,88.31,1005.64,0.0
23.92,22.0,3.69822,88.29,1005.64,0.0
23.91,22.0,3.23595,88.12,1005.65,0.0
23.91,22.0,3.69822,88.19,1005.66,0.0
23.92,22.0,3.69822,88.21,1005.66,0.0
23.92,22.0,3.23595,88.24,1005.63,0.0
23.91,22.0,3.23595,88.31,1005.65,0.0
23.92,22.0,2.3113900000000003,88.21,1005.66,0.0
23.92,22.0,2.3113900000000003,88.32,1005.67,0.0
23.92,22.0,2.3113900000000003,88.38,1005.64,0.0
23.92,22.0,1.84911,88.25,1005.68,0.0
23.92,22.0,2.3113900000000003,88.36,1005.65,0.0
23.92,22.0,1.84911,88.31,1005.63,0.0
23.92,22.0,1.84911,88.28,1005.65,0.0
23.92,22.0,1.84911,88.37,1005.65,0.0
23.92,22.0,2.3113900000000003,88.25,1005.63,0.0
23.92,22.0,2.3113900000000003,88.25,1005.65,0.0
23.92,22.0,1.84911,88.27,1005.65,0.0
23.92,22.0,2.3113900000000003,88.27,1005.67,0.0
23.93,22.0,2.3113900000000003,88.2,1005.68,0.0
23.92,22.0,2.3113900000000003,88.23,1005.65,0.0
23.93,22.0,2.3113900000000003,88.19,1005.62,0.0
23.93,22.0,2.3113900000000003,88.29,1005.61,0.0
23.92,22.0,1.84911,88.22,1005.64,0.0
23.92,22.0,1.84911,88.3,1005.66,0.0
23.93,22.0,1.84911,88.25,1005.63,0.0
23.93,22.0,2.3113900000000003,88.25,1005.63,0.0
23.93,22.0,1.84911,88.15,1005.64,0.0
23.93,22.0,2.3113900000000003,88.24,1005.63,0.0
23.93,22.0,2.3113900000000003,88.31,1005.62,0.0
23.93,22.0,2.3113900000000003,88.23,1005.63,0.0
23.93,22.0,1.84911,88.24,1005.63,0.0
23.93,22.0,1.84911,88.19,1005.66,0.0
23.93,22.0,1.84911,88.26,1005.62,0.0
23.93,22.0,1.84911,88.28,1005.64,0.0
23.93,22.0,1.84911,88.24,1005.63,0.0
23.93,22.0,1.84911,88.29,1005.67,0.0
23.93,22.0,1.84911,88.28,1005.66,0.0
23.93,22.0,1.84911,88.26,1005.64,0.0
23.94,22.0,1.84911,88.3,1005.65,0.0
23.94,22.0,1.84911,88.26,1005.66,0.0
23.93,22.0,1.84911,88.29,1005.65,0.0
23.93,22.0,1.84911,88.2,1005.63,0.0
23.93,22.0,2.3113900000000003,88.39,1005.64,0.0
